id,image_filename,image_source_url,image_original_url,image_author,image_date,image_institution,image_license,image_license_url,image_credit,image_rights_verified,notes
08-25-france-1944-paris-est-libere,08-25-france-1944-paris-est-libere.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-25-europe-1830-une-revolution-eclate-a-bruxelles,08-25-europe-1830-une-revolution-eclate-a-bruxelles.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-25-world-1916-les-etats-unis-creent-leurs-parcs-nationaux,08-25-world-1916-les-etats-unis-creent-leurs-parcs-nationaux.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-26-france-1789-les-droits-de-l-homme-sont-proclames,08-26-france-1789-les-droits-de-l-homme-sont-proclames.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-26-europe-1978-jean-paul-ier-devient-pape,08-26-europe-1978-jean-paul-ier-devient-pape.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-26-world-1883-le-krakatoa-explose,08-26-world-1883-le-krakatoa-explose.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-27-france-1965-le-corbusier-meurt-en-mediterranee,08-27-france-1965-le-corbusier-meurt-en-mediterranee.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-27-europe-1813-napoleon-remporte-la-bataille-de-dresde,08-27-europe-1813-napoleon-remporte-la-bataille-de-dresde.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-27-world-1859-le-premier-grand-puits-de-petrole-est-fore,08-27-world-1859-le-premier-grand-puits-de-petrole-est-fore.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-28-france-1944-marseille-est-liberee,08-28-france-1944-marseille-est-liberee.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-28-europe-1988-une-catastrophe-frappe-le-meeting-de-ramstein,08-28-europe-1988-une-catastrophe-frappe-le-meeting-de-ramstein.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-28-world-1963-martin-luther-king-prononce-i-have-a-dream,08-28-world-1963-martin-luther-king-prononce-i-have-a-dream.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-29-france-1944-montpellier-est-liberee,08-29-france-1944-montpellier-est-liberee.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-29-europe-1526-la-hongrie-est-vaincue-a-mohacs,08-29-europe-1526-la-hongrie-est-vaincue-a-mohacs.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-29-world-1949-l-urss-teste-sa-premiere-bombe-atomique,08-29-world-1949-l-urss-teste-sa-premiere-bombe-atomique.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-30-france-1944-rouen-est-liberee,08-30-france-1944-rouen-est-liberee.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-30-europe-1991-l-azerbaidjan-proclame-son-independance,08-30-europe-1991-l-azerbaidjan-proclame-son-independance.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-30-world-1999-le-timor-oriental-vote-pour-l-independance,08-30-world-1999-le-timor-oriental-vote-pour-l-independance.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-31-france-1997-la-princesse-diana-meurt-a-paris,08-31-france-1997-la-princesse-diana-meurt-a-paris.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-31-europe-1980-les-accords-de-gdansk-reconnaissent-solidarnosc,08-31-europe-1980-les-accords-de-gdansk-reconnaissent-solidarnosc.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
08-31-world-1957-la-federation-de-malaya-devient-independante,08-31-world-1957-la-federation-de-malaya-devient-independante.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-08-"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-27-france-1794-robespierre-est-renverse,07-27-france-1794-robespierre-est-renverse.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-27-europe-1694-la-banque-d-angleterre-est-fondee,07-27-europe-1694-la-banque-d-angleterre-est-fondee.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-27-world-1953-l-armistice-met-fin-aux-combats-en-coree,07-27-world-1953-l-armistice-met-fin-aux-combats-en-coree.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-28-france-1835-fieschi-tente-de-tuer-louis-philippe,07-28-france-1835-fieschi-tente-de-tuer-louis-philippe.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-28-europe-1914-l-autriche-hongrie-declare-la-guerre-a-la-serbie,07-28-europe-1914-l-autriche-hongrie-declare-la-guerre-a-la-serbie.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-28-world-1821-le-perou-proclame-son-independance,07-28-world-1821-le-perou-proclame-son-independance.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-29-france-1836-l-arc-de-triomphe-est-inaugure,07-29-france-1836-l-arc-de-triomphe-est-inaugure.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-29-europe-1948-les-jeux-olympiques-de-londres-s-ouvrent,07-29-europe-1948-les-jeux-olympiques-de-londres-s-ouvrent.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-29-world-1958-les-etats-unis-creent-la-nasa,07-29-world-1958-les-etats-unis-creent-la-nasa.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-30-france-1792-les-marseillais-entrent-dans-paris-en-chantant,07-30-france-1792-les-marseillais-entrent-dans-paris-en-chantant.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-30-europe-1966-l-angleterre-remporte-la-coupe-du-monde,07-30-europe-1966-l-angleterre-remporte-la-coupe-du-monde.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-30-world-1971-apollo-15-se-pose-sur-la-lune,07-30-world-1971-apollo-15-se-pose-sur-la-lune.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-31-france-1914-jean-jaures-est-assassine,07-31-france-1914-jean-jaures-est-assassine.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-31-europe-1917-la-bataille-de-passchendaele-commence,07-31-europe-1917-la-bataille-de-passchendaele-commence.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
07-31-world-1954-le-k2-est-vaincu-pour-la-premiere-fois,07-31-world-1954-le-k2-est-vaincu-pour-la-premiere-fois.jpg,,,,,,Création originale — usage interne Agôn,,Illustration éditoriale originale créée pour Agôn,,"Importé depuis le lot ""agon-cartes-historiques-2026-07-27-au-07-31"" fourni sur Desktop (histoire du jour). Textes/sources fournis par le lot, non re-vérifiés indépendamment. Images = illustrations éditoriales originales créées pour Agôn (pas des photos d'archives, aucune vérification de droits tiers nécessaire). review_status reste ""draft"" tant que les sources historiques n'ont pas été recoupées indépendamment."
